VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,PickupCell,DropoffCell
2,4/12/15 22:53,4/12/15 23:12,1,2.84,-73.981,40.775,1,N,-74.00561523,40.73845291,1,14.0,0.5,0.5,3.0,0.0,0.3,18.3,1.002083333,24:71
2,4/12/15 22:53,4/12/15 22:57,2,0.39,-73.99,40.764,1,N,-73.98552704,40.76041031,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,1.004166667,24:66
1,4/12/15 22:53,4/12/15 22:59,1,1.0,-73.977,40.743,1,N,-73.97636414,40.73244095,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,28:67,29:69
1,4/12/15 22:53,4/12/15 23:05,1,1.9,-73.991,40.718,1,N,-73.98674011,40.7400856,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,28:73,26:69
1,4/12/15 22:53,4/12/15 23:02,1,0.9,-73.973,40.759,1,N,-73.96038055,40.76202393,1,7.5,0.5,0.5,1.2,0.0,0.3,10.0,26:64,28:62
1,4/12/15 22:53,4/12/15 22:58,2,0.8,-73.957,40.778,1,N,-73.96424866,40.76763916,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,27:59:00,27:62
2,4/12/15 22:53,4/12/15 23:14,1,9.41,-73.95,40.717,1,N,-73.96065521,40.64785385,1,28.0,0.5,0.5,2.0,0.0,0.3,31.3,35:68,42:81
2,4/12/15 22:53,4/12/15 23:14,2,2.36,-73.983,40.739,1,N,-73.99768829,40.7611084,1,14.0,0.5,0.5,4.59,0.0,0.3,19.89,27:69,0.963194444
2,4/12/15 22:53,4/12/15 23:05,1,2.43,-73.964,40.803,1,N,-73.94187927,40.83290863,1,10.5,0.5,0.5,2.36,0.0,0.3,14.16,23:56,23:49
2,4/12/15 22:53,4/12/15 23:06,1,1.44,-73.977,40.745,1,N,-73.9895401,40.75616074,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,27:67,24:67
2,4/12/15 22:53,4/12/15 23:10,2,3.66,-74.009,40.706,1,N,-73.9886322,40.72724152,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,27:77,28:71
2,4/12/15 22:53,4/12/15 23:03,1,2.03,-73.985,40.737,1,N,-73.96400452,40.75683212,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,27:69,28:64
2,4/12/15 22:53,4/12/15 22:59,1,0.89,-73.998,40.737,1,N,-74.00016785,40.73042297,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76,25:71,25:72
1,4/12/15 22:53,4/12/15 23:00,1,1.3,-73.997,40.743,1,N,-73.9977417,40.75651169,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,25:70,1.005555556
1,4/12/15 22:53,4/12/15 23:06,1,2.3,-73.969,40.756,1,N,-73.99454498,40.73497009,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,28:64,26:71
1,4/12/15 22:53,4/12/15 22:58,2,1.0,-73.944,40.715,1,N,-73.9336853,40.7074852,1,6.0,0.5,0.5,1.8,0.0,0.3,9.1,36:68,39:68
1,4/12/15 22:53,4/12/15 23:02,1,0.8,-74.007,40.727,1,N,-73.99643707,40.7219696,1,7.0,0.5,0.5,2.45,0.0,0.3,10.75,25:73,27:73
1,4/12/15 22:53,4/12/15 23:01,1,2.2,-73.976,40.757,1,N,-73.95175934,40.7762413,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75,26:65,28:59:00
1,4/12/15 22:53,4/12/15 23:01,1,1.2,-73.992,40.749,1,N,-74.00533295,40.7402916,1,7.5,0.5,0.5,2.2,0.0,0.3,11.0,24:68,1.007638889
2,4/12/15 22:53,4/12/15 23:03,1,2.38,-73.998,40.716,1,N,-73.98245239,40.68632126,1,10.0,0.5,0.5,2.0,0.0,0.3,13.3,27:74,34:77
2,4/12/15 22:53,4/12/15 23:01,1,1.28,-73.985,40.763,1,N,-73.97821808,40.77825165,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,24:65,1.001388889
2,4/12/15 22:53,4/12/15 23:00,3,0.9,-73.99,40.73,1,N,-73.98155212,40.74113846,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,27:71,27:68
2,4/12/15 22:53,4/12/15 22:58,1,1.34,-73.982,40.692,1,N,-73.96833801,40.69605255,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,33:76,35:74
1,4/12/15 22:53,4/12/15 23:00,2,1.1,-73.992,40.69,1,N,-73.99621582,40.69835281,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,31:78,30:77
1,4/12/15 22:53,4/12/15 23:12,1,2.6,-74.001,40.731,1,N,-73.98188019,40.76312256,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,25:72,25:65
1,4/12/15 22:53,4/12/15 23:20,1,3.2,-73.984,40.725,1,N,-73.990448,40.7563324,2,18.5,0.5,0.5,0.0,0.0,0.3,19.8,29:71,24:67
1,4/12/15 22:53,4/12/15 23:02,3,1.4,0.0,0.0,1,N,0.0,0.0,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,,
2,4/12/15 22:53,4/12/15 23:15,1,9.34,-73.956,40.775,1,N,-73.98082733,40.68532181,1,28.0,0.5,0.5,5.86,0.0,0.3,35.16,27:60,34:77
2,4/12/15 22:53,4/12/15 23:02,5,1.64,-74.001,40.731,1,N,-74.00371552,40.74757385,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,25:72,1.006944444
2,4/12/15 22:53,4/12/15 23:17,1,3.9,-73.988,40.738,1,N,-73.99594116,40.69897842,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,27:69,30:77
2,4/12/15 22:53,4/12/15 23:12,1,2.37,-73.984,40.771,1,N,-74.00099945,40.74704361,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,1.002777778,1.006944444
2,4/12/15 22:53,4/12/15 23:04,1,1.4,-73.99,40.72,1,N,-73.98710632,40.73640823,1,8.5,0.5,0.5,0.98,0.0,0.3,10.78,28:73,27:70
1,4/12/15 22:53,4/12/15 23:08,1,3.0,-73.963,40.798,1,N,-73.94490051,40.82648087,1,13.0,0.5,0.5,2.85,0.0,0.3,17.15,23:57,23:50
1,4/12/15 22:53,4/12/15 23:05,3,1.7,-73.964,40.757,1,N,-73.98548126,40.74735641,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,28:64,26:68
1,4/12/15 22:53,4/12/15 22:59,1,0.9,-73.987,40.739,1,N,-73.98083496,40.75038147,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3,27:69,26:67
1,4/12/15 22:53,4/12/15 23:14,1,2.2,-73.982,40.756,1,N,-73.9978714,40.73286057,1,14.5,0.5,0.5,3.95,0.0,0.3,19.75,25:66,26:71
1,4/12/15 22:53,4/12/15 23:00,1,0.9,0.0,0.0,1,N,0.0,0.0,1,6.5,0.5,0.5,1.95,0.0,0.3,9.75,,
