pickup_latitude,pickup_longitude,n
40.693,-73.991,1
40.754,-73.918,1
40.8,-73.963,3
40.713,-74.013,4
40.784,-73.973,1
40.704,-74.013,14
40.748,-73.987,25
40.783,-73.977,6
40.737,-73.986,10
40.703,-73.991,2
40.802,-73.967,1
40.845,-73.933,1
40.802,-73.954,2
40.676,-73.981,1
40.772,-73.988,4
40.743,-74.003,3
40.798,-73.948,2
40.803,-73.951,1
40.774,-73.992,2
40.688,-73.98,4
40.804,-73.965,2
40.73,-73.957,1
40.713,-73.985,1
40.747,-73.975,5
40.75,-73.996,11
40.767,-73.921,3
40.765,-73.932,2
40.758,-73.937,5
40.814,-73.956,3
40.786,-73.954,2
40.764,-73.911,1
40.718,-73.956,2
40.722,-73.958,2
40.729,-73.985,16
40.789,-73.98,4
40.725,-73.988,12
40.74,-73.997,5
40.839,-73.945,1
40.643,-73.791,3
40.717,-73.963,8
40.743,-74.001,7
40.715,-73.98,1
40.753,-73.991,9
40.769,-73.957,6
40.69,-73.991,1
40.739,-74.01,1
40.73,-73.952,2
40.656,-73.795,1
40.678,-73.969,1
40.745,-73.984,15
40.757,-73.999,1
40.771,-73.866,12
40.718,-74.005,14
40.718,-74.014,9
40.702,-73.989,1
40.754,-73.982,8
40.679,-73.976,1
40.738,-74.007,4
40.71,-73.991,1
40.736,-74.0,2
40.732,-74.01,2
40.801,-73.94,2
40.756,-73.887,1
40.737,-73.877,1
40.753,-74.006,1
40.772,-73.989,2
40.729,-73.983,1
40.73,-73.985,2
40.803,-73.963,3
40.777,-73.944,7
40.88,-73.871,1
40.815,-73.944,3
40.77,-73.867,3
40.696,-73.985,2
40.748,-73.947,2
40.805,-73.953,2
40.653,-73.787,1
40.719,-73.992,1
40.772,-73.955,3
40.731,-73.994,7
40.807,-73.95,2
40.685,-73.963,1
40.795,-73.964,1
40.701,-73.99,2
40.67,-73.997,1
40.691,-73.984,3
40.748,-73.972,7
40.717,-73.956,2
40.731,-74.006,3
40.684,-73.947,1
40.752,-73.998,5
40.696,-73.98,1
40.735,-73.953,1
40.751,-74.003,15
40.798,-73.942,3
40.759,-73.959,2
40.732,-73.953,1
